ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
25,3,7.0,5.0,10.0,7.0,124,49.193548387096776,166.59961014066093,1.3435452430698462,82.00000000000009,1.3777768937429948,50.806451612903224
25,3,7.0,5.0,10.0,3.0,196,29.591836734693878,163.5996101406609,0.8346918884727597,50.99999999999997,1.3951681404363787,70.40816326530613
25,3,7.0,5.0,10.0,5.0,154,40.25974025974026,157.5996101406609,1.0233740918224734,65.00000000000013,1.3426078481318713,59.74025974025974
25,5,7.0,5.0,10.0,7.0,112,49.107142857142854,148.59961014066087,1.3267822333987578,82.00000000000014,1.3724301006031596,50.89285714285714
25,3,7.0,5.0,15.0,3.0,165,21.818181818181817,147.64643777365927,0.8948268955979349,57.000000000000114,1.3815153430843903,78.18181818181819
25,3,7.0,7.0,10.0,3.0,114,32.45614035087719,139.0000000000001,1.219298245614036,40.00000000000005,1.6017316017316017,67.54385964912281
25,3,7.0,7.0,10.0,7.0,85,50.588235294117645,136.00000000000014,1.6000000000000016,54.00000000000004,1.4625850340136057,49.411764705882355
25,3,5.0,5.0,10.0,3.0,180,28.888888888888886,133.59961014066087,0.7422200563370048,48.0,1.3479156514079706,71.11111111111111
25,3,5.0,5.0,10.0,7.0,117,47.863247863247864,130.59961014066084,1.1162359841082123,89.00000000000014,1.305853887917238,52.13675213675214
25,3,7.0,7.0,15.0,3.0,105,23.809523809523807,129.64643777365947,1.2347279787967569,36.00000000000006,1.5401934907235806,76.19047619047619
25,3,7.0,5.0,15.0,5.0,125,30.4,129.64643777365927,1.0371715021892742,75.00000000000021,1.2980377879854232,69.6
100,3,5.0,5.0,10.0,3.0,76,35.526315789473685,123.0000000000001,1.6184210526315803,27.000000000000014,1.8367346938775508,64.47368421052632
25,5,7.0,7.0,10.0,7.0,75,50.66666666666667,121.00000000000009,1.6133333333333344,57.00000000000003,1.467181467181467,49.333333333333336
100,5,7.0,5.0,10.0,3.0,77,35.064935064935064,120.00000000000011,1.5584415584415598,27.000000000000014,1.7999999999999998,64.93506493506493
25,3,7.0,7.0,7.0,7.0,95,58.94736842105262,119.00000000000004,1.2526315789473688,42.00000000000004,1.4358974358974357,41.05263157894737
25,3,7.0,5.0,7.0,7.0,145,55.86206896551724,119.00000000000003,0.820689655172414,63.00000000000007,1.2656249999999998,44.13793103448276
25,5,7.0,5.0,10.0,5.0,141,39.00709219858156,117.59961014066086,0.8340397882316373,80.00000000000013,1.2734874654433972,60.99290780141844
25,3,7.0,5.0,15.0,7.0,102,37.254901960784316,114.93808788392198,1.1268439988619803,79.0000000000002,1.2565582318837543,62.745098039215684
100,7,7.0,5.0,10.0,3.0,66,36.36363636363637,114.00000000000009,1.7272727272727286,21.000000000000014,1.9047619047619047,63.63636363636363
25,5,7.0,5.0,10.0,3.0,178,28.08988764044944,113.59961014066081,0.6382000569700046,60.000000000000014,1.2958323180746374,71.91011235955057
100,3,7.0,5.0,10.0,3.0,84,33.33333333333333,112.0000000000001,1.3333333333333346,27.000000000000014,1.6666666666666665,66.66666666666666
100,5,7.0,5.0,10.0,5.0,68,44.11764705882353,110.00000000000013,1.6176470588235312,30.000000000000014,1.5789473684210529,55.88235294117647
25,3,7.0,7.0,10.0,5.0,101,40.5940594059406,110.00000000000006,1.0891089108910896,65.0000000000001,1.3666666666666665,59.4059405940594
25,3,5.0,5.0,15.0,3.0,154,20.77922077922078,108.64643777365937,0.7054963491796064,63.0000000000001,1.2968481906384133,79.22077922077922
25,3,5.0,5.0,10.0,5.0,143,38.46153846153847,107.59961014066089,0.7524448261584677,80.00000000000014,1.2445445685015017,61.53846153846154
25,3,7.0,7.0,15.0,7.0,78,38.46153846153847,106.93808788392215,1.3710011267169506,56.00000000000003,1.318268118702149,61.53846153846154
25,5,7.0,7.0,7.0,7.0,85,58.82352941176471,105.0000000000001,1.23529411764706,35.00000000000003,1.4285714285714286,41.17647058823529
100,3,7.0,5.0,10.0,5.0,72,43.05555555555556,105.00000000000009,1.4583333333333346,30.0,1.5121951219512197,56.94444444444444
100,7,7.0,5.0,10.0,5.0,60,45.0,105.00000000000007,1.750000000000001,30.000000000000014,1.6363636363636362,55.00000000000001
25,3,5.0,7.0,10.0,7.0,75,49.333333333333336,104.00000000000009,1.3866666666666678,67.00000000000003,1.3909774436090225,50.66666666666667
25,5,5.0,5.0,10.0,5.0,117,39.31623931623932,102.59961014066087,0.8769197447919732,75.0000000000001,1.2890129863117206,60.68376068376068
50,7,5.0,5.0,10.0,5.0,64,43.75,100.00000000000011,1.5625000000000018,35.00000000000006,1.5555555555555556,56.25
100,3,5.0,5.0,10.0,5.0,67,43.28358208955223,100.00000000000009,1.492537313432837,30.00000000000001,1.526315789473684,56.71641791044776
25,7,7.0,5.0,10.0,7.0,107,46.728971962616825,98.59961014066077,0.9214916835575773,92.00000000000014,1.2471168173951397,53.271028037383175
25,5,5.0,7.0,7.0,7.0,66,60.60606060606061,98.00000000000011,1.4848484848484866,42.000000000000014,1.5384615384615385,39.39393939393939
25,5,7.0,5.0,7.0,7.0,132,55.3030303030303,98.00000000000007,0.742424242424243,63.00000000000007,1.2372881355932202,44.696969696969695
50,7,7.0,5.0,10.0,7.0,81,48.148148148148145,96.00000000000011,1.1851851851851867,85.00000000000006,1.326530612244898,51.85185185185185
