ma,tp,sl,half_close,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,half_closed_pct
100,10.0,5.0,3.0,165,69.6969696969697,112.49999999999989,0.6818181818181811,26.00000000000005,1.449999999999999,69.6969696969697
100,7.0,5.0,3.0,168,69.64285714285714,98.99999999999986,0.5892857142857134,27.000000000000064,1.388235294117646,69.64285714285714
100,5.0,5.0,3.0,173,68.78612716763006,98.49999999999986,0.5693641618497102,24.000000000000036,1.3648148148148138,68.78612716763006
50,5.0,5.0,3.0,267,65.54307116104869,94.62184784460702,0.3543889432382285,32.50000000000007,1.20778741227866,65.54307116104869
50,10.0,3.0,3.0,292,53.42465753424658,93.6218478446072,0.32062276659112054,47.500000000000085,1.2309494168514519,53.42465753424658
100,10.0,3.0,3.0,189,57.14285714285714,88.99999999999991,0.47089947089947043,24.00000000000003,1.3662551440329211,57.14285714285714
100,5.0,3.0,3.0,196,56.63265306122449,88.9999999999999,0.45408163265306073,24.000000000000043,1.3490196078431367,56.63265306122449
50,7.0,5.0,3.0,259,65.25096525096525,88.12184784460705,0.34023879476682256,42.00000000000007,1.1978584881592063,65.25096525096525
50,10.0,5.0,3.0,246,65.85365853658537,87.62184784460712,0.35618637335206144,40.500000000000114,1.2109447677735052,65.85365853658537
50,5.0,2.0,3.0,356,42.69662921348314,84.12184784460706,0.2362973254061996,29.000000000000156,1.2070038642541003,42.69662921348314
50,10.0,2.0,3.0,329,42.5531914893617,83.6218478446071,0.25416975028755956,42.50000000000015,1.2221750847272417,42.5531914893617
50,5.0,3.0,3.0,319,52.97805642633229,78.62184784460707,0.24646347286710682,36.50000000000014,1.175739131349665,52.97805642633229
50,5.0,5.0,2.0,301,73.75415282392026,76.99999999999977,0.2558139534883713,34.50000000000008,1.1949367088607588,73.75415282392026
50,7.0,3.0,3.0,307,52.76872964169381,76.62184784460712,0.24958256626907857,44.00000000000014,1.17721026712994,52.76872964169381
100,5.0,2.0,3.0,215,46.04651162790698,76.49999999999989,0.3558139534883716,26.000000000000078,1.329741379310344,46.04651162790698
100,7.0,3.0,3.0,192,57.291666666666664,76.49999999999987,0.39843749999999933,24.000000000000014,1.3109756097560967,57.291666666666664
100,5.0,5.0,1.0,216,88.42592592592592,75.49999999999993,0.3495370370370367,16.50000000000003,1.6039999999999988,88.42592592592592
50,7.0,2.0,3.0,344,42.44186046511628,73.12184784460705,0.21256351117618327,37.50000000000016,1.1854104935706367,42.44186046511628
50,7.0,5.0,2.0,293,73.72013651877133,72.49999999999982,0.24744027303754204,34.50000000000008,1.1883116883116878,73.72013651877133
