ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
50,3,5.0,3.0,10.0,3.0,250,28.799999999999997,188.6218478446075,0.7544873913784299,61.999999999999986,1.3549672621644557,70.8
25,5,2.0,3.0,10.0,3.0,179,30.726256983240223,180.62184784460732,1.0090606024838398,65.00000000000007,1.4889889853816307,68.71508379888269
50,5,3.0,3.0,10.0,3.0,188,30.319148936170215,179.62184784460743,0.9554353608755715,50.00000000000004,1.4601226960393714,69.14893617021278
25,5,2.0,3.0,10.0,2.0,207,23.67149758454106,175.6218478446074,0.8484147238869922,60.00000000000011,1.5586324833342737,75.84541062801932
25,5,2.0,3.0,10.0,5.0,143,41.25874125874126,172.47235732713187,1.2061004008890341,95.00000000000007,1.41308009266889,58.04195804195804
100,3,5.0,3.0,10.0,3.0,157,31.210191082802545,166.0000000000001,1.0573248407643319,36.00000000000003,1.5123456790123455,68.78980891719745
25,3,2.0,3.0,10.0,2.0,280,21.428571428571427,161.6218478446074,0.5772208851593121,68.00000000000013,1.3686813474849377,78.21428571428571
50,3,3.0,3.0,10.0,3.0,220,28.636363636363637,161.6218478446074,0.7346447629300337,78.00000000000004,1.3450670085717116,70.9090909090909
50,5,3.0,3.0,7.0,3.0,206,37.37864077669903,154.62184784460743,0.7505914943912982,56.0,1.4022649231689375,62.13592233009708
50,3,5.0,3.0,10.0,5.0,187,38.50267379679144,149.6218478446074,0.8001168333936225,99.99999999999996,1.2623204400084467,60.962566844919785
50,3,2.0,3.0,10.0,3.0,169,29.585798816568047,145.62184784460737,0.8616677387254874,41.00000000000004,1.4109221941558996,69.8224852071006
50,3,5.0,3.0,10.0,2.0,294,20.74829931972789,145.62184784460734,0.49531240763471884,70.00000000000009,1.3135846231540163,78.91156462585033
100,3,5.0,3.0,5.0,5.0,155,59.354838709677416,145.0,0.9354838709677419,25.000000000000043,1.4603174603174598,40.64516129032258
100,3,2.0,3.0,10.0,3.0,108,33.33333333333333,144.00000000000003,1.3333333333333337,47.0000000000001,1.666666666666666,66.66666666666666
50,3,2.0,3.0,7.0,3.0,183,37.704918032786885,143.62184784460746,0.7848188406809151,43.00000000000001,1.4231912011202374,61.74863387978142
50,3,3.0,3.0,7.0,3.0,240,35.833333333333336,142.62184784460746,0.594257699352531,64.00000000000006,1.3104671982666756,63.74999999999999
50,5,5.0,3.0,10.0,3.0,235,27.659574468085108,142.62184784460743,0.6069014801898188,77.00000000000006,1.281095761097981,71.91489361702128
100,5,5.0,3.0,10.0,3.0,148,30.405405405405407,141.0000000000001,0.9527027027027035,43.00000000000003,1.4563106796116505,69.5945945945946
50,3,5.0,3.0,7.0,3.0,274,35.03649635036496,140.62184784460746,0.5132184227905382,60.00000000000006,1.264636111353492,64.59854014598541
50,7,5.0,3.0,10.0,3.0,227,27.75330396475771,140.62184784460743,0.6194795059233807,91.0,1.2873480297909898,71.80616740088107
25,3,2.0,3.0,10.0,3.0,240,27.500000000000004,140.62184784460734,0.5859243660191973,80.00000000000009,1.2707504103918,72.08333333333333
100,3,5.0,3.0,10.0,5.0,125,40.8,140.00000000000014,1.1200000000000012,50.00000000000003,1.3783783783783785,59.199999999999996
100,3,2.0,3.0,10.0,2.0,116,26.72413793103448,140.00000000000006,1.2068965517241383,44.00000000000004,1.8235294117647054,73.27586206896551
50,3,5.0,3.0,7.0,5.0,213,46.948356807511736,139.62184784460743,0.6555016330732744,75.0,1.2491564799726351,52.58215962441315
100,3,5.0,3.0,7.0,5.0,138,50.0,138.0000000000001,1.0000000000000009,50.00000000000003,1.4,50.0
100,3,5.0,3.0,5.0,3.0,178,47.19101123595505,138.00000000000006,0.7752808988764048,18.000000000000043,1.4893617021276593,52.80898876404494
25,7,3.0,3.0,10.0,5.0,174,38.50574712643678,137.45702412441318,0.7899828972667424,110.00000000000014,1.2581144252225118,60.91954022988506
100,5,5.0,3.0,7.0,5.0,131,50.38167938931297,137.00000000000009,1.045801526717558,36.00000000000006,1.4215384615384614,49.61832061068702
50,7,5.0,3.0,7.0,3.0,249,35.34136546184739,135.62184784460746,0.5446660556008331,66.00000000000003,1.2823230974100097,64.2570281124498
100,5,2.0,3.0,10.0,3.0,85,35.294117647058826,135.00000000000006,1.5882352941176476,32.000000000000036,1.8181818181818177,64.70588235294117
50,3,3.0,3.0,10.0,2.0,258,20.930232558139537,133.6218478446074,0.5179141389325869,88.00000000000007,1.3288115936742395,78.68217054263566
100,3,5.0,3.0,10.0,2.0,180,22.77777777777778,132.00000000000009,0.7333333333333338,42.00000000000012,1.474820143884892,77.22222222222223
50,7,3.0,3.0,10.0,3.0,152,29.605263157894733,131.62184784460737,0.8659332095039959,47.00000000000003,1.41341356796482,69.73684210526315
50,3,3.0,3.0,7.0,2.0,273,27.472527472527474,130.6218478446074,0.478468307123104,69.00000000000009,1.331209645186277,72.16117216117216
100,5,2.0,3.0,10.0,2.0,91,28.57142857142857,130.00000000000009,1.4285714285714295,32.00000000000003,2.0,71.42857142857143
100,3,3.0,3.0,7.0,5.0,123,50.40650406504065,129.0000000000001,1.048780487804879,39.000000000000064,1.4229508196721312,49.59349593495935
100,3,5.0,3.0,7.0,3.0,167,37.72455089820359,129.00000000000009,0.7724550898203598,34.00000000000004,1.4134615384615383,62.27544910179641
100,7,5.0,3.0,7.0,5.0,126,50.0,126.00000000000006,1.0000000000000004,40.00000000000011,1.4,50.0
50,5,3.0,3.0,7.0,5.0,175,47.42857142857143,125.6218478446074,0.7178391305406138,88.00000000000001,1.2758627027889127,52.0
25,7,3.0,3.0,10.0,2.0,280,20.357142857142858,125.62184784460732,0.4486494565878833,94.00000000000016,1.2826913232239172,79.28571428571428
100,3,3.0,3.0,10.0,3.0,136,30.14705882352941,125.00000000000009,0.9191176470588241,49.000000000000085,1.4385964912280702,69.85294117647058
100,5,5.0,3.0,10.0,5.0,119,40.33613445378151,125.00000000000009,1.0504201680672276,50.00000000000003,1.352112676056338,59.66386554621849
100,3,2.0,3.0,10.0,5.0,95,42.10526315789473,125.00000000000004,1.315789473684211,60.0000000000001,1.4545454545454544,57.89473684210527
